date,borough,avg_lat,avg_lon,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,total_accidents
2019-01-01,BRONX,40.85124227659575,-73.87556170212765,9,0,3,0,1,0,5,0,47
2019-01-01,BROOKLYN,40.651532055555556,-73.94829397777778,43,1,9,0,1,1,33,0,90
2019-01-01,MANHATTAN,40.769829093023255,-73.9722106511628,7,0,3,0,0,0,4,0,43
2019-01-01,QUEENS,40.71938701265823,-73.82656,17,0,2,0,1,0,14,0,79
2019-01-01,STATEN ISLAND,40.60493257142857,-74.11446742857143,3,0,1,0,0,0,2,0,14
2019-01-02,BRONX,40.842957936170215,-73.87275723404255,11,0,2,0,1,0,8,0,47
2019-01-02,BROOKLYN,40.65303109183674,-73.94988871428572,24,0,5,0,2,0,17,0,98
2019-01-02,MANHATTAN,40.75342871428571,-73.98097595918368,13,0,6,0,0,0,7,0,49
2019-01-02,QUEENS,40.720008136752135,-73.82824356410256,36,0,4,0,1,0,31,0,117
2019-01-02,STATEN ISLAND,40.59162952631579,-74.11529552631579,1,0,0,0,0,0,1,0,19
2019-01-03,BRONX,40.84677735849056,-73.88427213207547,11,0,6,0,0,0,5,0,53
2019-01-03,BROOKLYN,40.653604077669904,-73.95399810679612,23,0,7,0,2,0,14,0,103
2019-01-03,MANHATTAN,40.76710204918033,-73.9746998852459,9,0,4,0,2,0,3,0,61
2019-01-03,QUEENS,40.721156666666666,-73.8256481764706,27,0,7,0,0,0,20,0,102
2019-01-03,STATEN ISLAND,40.5893338,-74.1224714,7,0,0,0,0,0,7,0,15
2019-01-04,BRONX,40.84588327272727,-73.88278615151515,12,0,5,0,0,0,7,0,66
2019-01-04,BROOKLYN,40.66091486440678,-73.94704138135593,42,1,13,0,2,1,27,0,118
2019-01-04,MANHATTAN,40.776138,-73.97087406451612,17,0,7,0,4,0,6,0,62
